ticker,entry,price_changes_1,price_changes_3,price_changes_5,price_changes_10,price_changes_20,indicator_changes_1,indicator_changes_3,indicator_changes_5,indicator_changes_10,indicator_changes_20,percentage_of_high_indicator_3,percentage_of_high_indicator_5,percentage_of_high_indicator_10,percentage_of_high_indicator_20,day_1,day_2,day_3,day_4,day_5,close_1,close_2,close_3,close_4,the_high,the_low,the_entry,date,result
AAP,39,-0.965,-8.497,-8.885,2.734,-30.44,7.07,20.832,20.361,-10.648,91.857,5.079,5.079,8.921,19.574,-1.262,0.79,5.074,7.07,8.688,0.9588901472253681,1.0850509626274065,1.126047565118913,1.160475651189128,1.232,0.937,88.3,2020-04-02,1.2115515288788223
AAP,51,-1.62,-3.403,-1.663,18.505,48.399,0.559,4.244,8.275,-17.869,-62.278,6.023,6.023,6.023,6.023,-2.456,0.559,0.726,2.959,6.486,0.9941870706358992,0.998678879689977,1.0361986964946275,1.047736480535494,1.085,0.99,113.54,2020-04-21,1.065439492689801
AAP,62,-0.19,3.766,-3.162,7.158,21.653,1.636,-1.689,10.52,-9.447,-21.49,3.682,3.682,3.682,5.654,-2.043,-1.282,1.636,4.421,7.788,0.9892526455026456,1.0321593915343916,1.0411706349206349,1.029265873015873,1.049,0.981,120.96,2020-05-06,0.9857804232804233
AAP,87,-5.136,-9.012,-6.377,-3.786,11.682,7.597,10.58,6.893,5.376,-16.391,-0.155,0.6,2.217,3.855,-3.264,-0.422,0.581,2.402,7.596,1.019373732822708,1.0352932342119097,1.0714875722760382,1.1160922129608772,1.127,0.979,133.17,2020-06-11,1.10925884208155
AAP,96,-4.689,-1.367,-3.869,1.781,0.826,6.773,4.764,8.794,4.237,4.249,2.657,2.657,2.657,2.657,-3.911,1.813,1.902,2.217,6.773,1.000699888017917,0.9789333706606943,0.9991601343784994,0.9969204927211647,1.007,0.971,142.88,2020-06-24,0.9934910414333706
AAP,104,-1.605,-3.677,-4.224,-9.856,-6.58,3.195,4.84,6.136,12.742,11.287,0.777,0.856,2.777,2.777,-1.443,0.148,1.148,3.087,3.196,0.9973670737950707,0.9775469904190741,0.9825934323118555,0.9877861478826886,1.021,0.965,136.73,2020-07-07,1.0135303152197763
AAPL,21,-7.921,-12.164,-10.959,-10.759,-16.857,17.344,27.788,25.168,28.425,38.091,6.764,6.764,6.764,6.764,-4.517,1.897,3.828,6.616,17.344,1.0736593121622915,1.0346499355390844,0.9320154963100558,1.0449847847925227,1.076,0.902,266.09,2020-03-09,0.9102559662043825
AAPL,27,4.397,1.96,-11.491,-12.599,-20.736,-3.616,9.537,36.004,53.907,67.353,5.589,5.589,7.118,7.118,-12.505,-3.615,5.319,21.147,25.658,0.987858865313579,0.9680060257914929,0.9046112668711269,0.885786582246689,1.0,0.841,252.86,2020-03-17,0.9763505666649347
AAPL,38,-5.301,-2.774,-1.886,-3.591,-20.506,8.049,5.311,5.094,3.881,67.158,1.053,2.972,3.327,7.474,-6.033,-3.818,1.08,5.817,8.049,1.0169005896520222,1.0025330122082885,1.0891329623785402,1.0770907731915953,1.122,0.984,240.82,2020-04-01,1.1047255211361184
AAPL,51,-2.993,-6.33,-6.444,2.396,19.908,2.362,8.511,8.644,-0.925,-20.071,0.782,2.342,3.689,3.689,-2.095,1.804,2.228,2.362,4.345,1.0278884462151394,1.0239788509513348,1.0535428379938192,1.0546598652120491,1.064,1.014,268.57,2020-04-21,1.0371597721264476
AAPL,117,-3.552,-5.393,-4.527,-3.345,1.17,4.569,7.617,6.388,2.889,-4.808,1.002,1.413,1.413,1.413,-0.91,-0.318,1.454,1.594,4.569,1.0270149496262593,1.0103997400064997,1.02987216986242,1.0423572744014733,1.153,1.007,369.24,2020-07-24,1.1515003791571878
AAXN,23,-9.852,-18.764,-24.907,-24.589,-30.61,13.36,23.111,25.909,30.719,42.42,-0.364,-0.364,6.905,6.905,-2.665,-0.653,3.45,12.417,13.36,0.9379960312767334,1.0320766971129718,0.8915343680069008,0.9449405085720625,1.035,0.828,60.48,2020-03-11,0.8679728725067993
AAXN,29,18.164,15.041,9.342,-17.491,-28.256,-10.054,5.243,13.694,49.476,65.54,17.0,17.0,17.0,17.0,-13.334,-10.054,-0.299,15.596,21.786,0.9798484600258093,1.022730934630982,1.125584411878585,1.1449298410557123,1.255,0.936,62.03,2020-03-19,1.2335966169421513
AAXN,38,-8.139,-12.545,-8.617,23.631,-19.419,7.86,8.772,7.511,-17.058,45.922,1.504,12.578,16.248,16.248,-1.955,-1.044,-0.217,2.866,7.86,0.9631741140215715,0.9473035439137133,1.043297380585516,1.0633281972265023,1.131,0.933,64.9,2020-04-01,1.1164869029275808
AAXN,61,-1.687,-9.534,-12.631,-7.07,-2.747,0.311,4.109,5.785,-12.026,-31.585,-1.593,0.793,0.793,6.636,0.311,0.375,1.024,1.301,2.774,1.0065299924069857,1.0668185269552013,1.3079726651480639,1.2905087319665909,1.358,0.997,65.85,2020-05-05,1.2680334092634777
AAXN,91,1.335,0.818,-8.035,3.989,26.947,1.158,5.047,6.483,-2.526,-15.383,4.861,4.861,4.861,4.861,-4.013,0.487,1.158,3.402,5.449,0.9676433389544689,0.9494097807757167,0.9749156829679596,1.006956155143339,1.03,0.933,94.88,2020-06-17,0.9846121416526139
AAXN,98,-0.052,0.377,6.461,1.902,26.234,3.268,4.244,5.29,10.76,-8.378,3.229,3.739,4.809,4.809,-0.959,0.419,0.557,2.005,3.268,0.9989572471324295,1.0230448383733055,1.035140771637122,1.0460375391032324,1.068,0.964,95.9,2020-06-26,1.0386861313868612
AB,21,-9.544,-15.58,-15.477,-16.551,-19.568,7.268,15.527,15.649,15.079,18.915,3.347,3.347,3.347,4.054,-0.727,0.85,3.485,4.773,7.268,1.0728789062524315,0.9644670215755159,0.8542421874951377,0.8785351562459479,1.075,0.693,27.58,2020-03-09,0.7255257535980807
AB,27,-5.447,-19.694,-36.059,-40.032,-46.463,5.156,33.405,51.516,57.633,64.345,3.663,3.663,4.878,5.909,-0.675,5.156,7.532,10.58,28.924,0.7822410217259308,1.027484167847082,0.9038055133464502,0.8165961811291644,1.062,0.7,18.92,2020-03-17,0.8937632018617013
