days,Multiplication,change 1,change 2,change 3,Count Diff,Top,Classification,ID
10,8.55913306,0.932219569,0.734358393,1.016376282,1,0.810739541,0,102
2,7.636140118,1.057155516,1.093191695,0.919787089,5,0.436366739,1,102
12,8.460849414,1.014365672,0.988994864,0.88495252,10,0.31111589,1,102
1,7.078887912,0.992117117,0.991784914,1.003739716,2,0.291246874,1,102
1,7.844008938,0.990369181,1,1.015100671,6,0.399756771,1,103
6,8.872031792,0.970809843,0.907056804,0.919204229,2,0.733088478,1,104
1,8.621047794,1.090062112,0.897652582,0.903827282,1,0.346156909,0,104
2,7.615260021,1.002382844,1.06,0.856412441,2,0.287893567,1,104
2,7.304184957,0.940528,0.978795738,0.982815558,2,0.543411196,1,105
5,8.646880859,0.911546837,1.002944708,1.110704396,2,0.437683408,1,105
1,7.480424846,1.092928746,0.926287196,1.1901779,10,0.842909472,1,105
6,9.713429123,1,0.961510791,1.027205882,10,0.807679451,1,106
11,8.531445413,1.019780845,0.996945691,0.994202332,5,0.50064986,1,107
1,7.140787026,0.991437925,0.969901667,1.051897272,21,0.284772923,1,107
13,7.949027499,0.985446985,0.9748,1.053342336,2,0.951416948,1,108
3,7.242318597,1.01119403,0.964234621,0.954415954,4,0.695676466,1,108
7,8.652757702,1.0052976,0.949571585,0.891907273,8,0.274445621,1,109
14,9.269242909,0.97276818,1.079147714,1.29294115,5,0.326167654,1,110
1,7.251347678,1.038002774,0.986394558,0.884388201,55,0.39166569,1,110
2,7.54621021,1.006736106,0.960611401,0.957337884,2,0.913846502,1,111
1,7.34383423,0.962797618,1.014830511,1.116199576,2,0.312127733,1,111
6,8.349495785,0.980753809,1.020308692,0.897456932,18,0.352485331,1,111
10,7.949604801,1.028384112,0.935725873,1.142118424,2,0.777543762,1,112
2,8.844370557,0.952036613,1.031072,1.077028611,21,0.258598257,1,112
3,7.278923755,0.995682499,0.983197138,0.789655301,7,0.278954002,1,112
1,9.246587565,0.977877603,0.982258498,0.900409735,20,0.219030828,1,112
1,7.704387372,0.98749272,0.913007195,1.129619844,1,0.212466536,0,113
2,7.74936567,0.983888292,1.049414453,0.859174568,3,0.306033314,1,113
3,8.212796593,0.9195,1.064306944,0.805676856,1,0.284233183,0,113
1,7.150163612,0.983783784,0.944354278,0.983109671,2,0.283929068,1,113
3,7.093950355,0.979249506,0.971714238,1.343687482,2,0.997460161,1,114
8,8.12293039,0.956716422,0.892764865,1.006188142,2,0.420098554,1,115
1,7.193254215,1.053545586,1.010401189,0.852919438,2,0.40156667,1,115
1,7.183266035,1.157124682,0.943765281,0.719678218,1,0.652654518,0,115
3,7.1178793,1.035611165,0.982497635,0.650659134,3,0.310367213,1,115
1,7.326119455,1.013953488,0.991666667,0.730483271,11,0.278281052,1,115
7,8.389402474,0.973015873,1.160516605,0.888073394,26,0.357141016,1,115
1,7.284461044,1.010580645,1.004010868,1.087185744,4,0.7692271,1,116
4,8.807672745,1.019376871,0.97780396,0.91704334,10,0.343009305,1,117
16,9.319040473,1.00673968,1.087912088,1,11,0.416250601,1,118
3,7.572340385,0.99377916,0.996124031,1.025306748,2,0.826704155,1,118
11,8.516833543,1.017880629,0.980594426,1.057387019,2,0.364492323,1,119
1,7.865645258,1.02568806,1.02206673,0.955355004,1,0.738232555,0,119
7,7.727800517,1.00150075,1.126315789,1.033685999,4,0.656510879,1,119
5,9.629585159,0.986512118,0.98193627,0.855838684,7,0.389582752,1,119
2,7.717622267,1.069495991,0.840336131,1.391804101,1,0.372024515,0,120
1,7.013087931,1.024320458,0.942413163,0.916666623,4,0.321202917,1,120
1,7.642926691,1.026713533,1.01613469,0.764006791,2,0.415348687,1,120
4,9.098713499,0.964285714,0.987521664,0.788380282,11,0.250461685,1,120
3,7.472132647,0.959252451,1.02173913,0.889549839,1,0.385910449,0,120
1,7.513333188,0.998135188,0.959110558,1.023981106,2,0.44551458,1,121
2,7.724465157,0.984050569,0.924627902,0.79115842,22,0.516711585,1,121
1,7.064834031,0.993047569,0.968167078,1.050793641,2,0.276594392,1,122
1,7.112077796,1.01850865,0.982381849,0.906732531,2,0.974550348,1,122
1,7.498064038,0.988051166,0.968806104,0.926915948,47,0.745437114,1,122
5,7.954968092,0.993384785,0.938208033,0.586475208,3,0.321397994,1,123
2,7.468664288,1.003980892,1.007581804,0.851955307,58,0.758341408,1,124
5,8.092537691,1.03090059,0.990249799,1.04727708,1,0.88139309,0,125
1,7.50480445,0.977433271,0.964952045,1.070883504,1,0.458399619,0,126
26,9.104827144,1.017289196,1.572429907,0.932192107,3,0.463725425,1,126
1,7.139036762,1.062114444,0.942726481,0.923448091,1,0.351090807,0,127
2,8.115331727,0.987166992,1.137219075,0.969444964,2,0.369476637,1,127
1,7.038741431,0.969923112,1.026416483,0.860177628,2,0.408685893,1,127
1,8.021467057,1.036270131,0.954719877,1.00215873,9,0.444520887,1,127
1,9.54570472,1.011078287,0.942617215,0.735724758,4,0.223085422,1,128
1,8.713100205,1.007025761,0.994694923,1.285825548,1,0.278962284,0,129
6,8.396642532,0.991718427,1.21880651,1.050894956,1,0.291953623,0,129
3,7.262864462,0.956973294,1.010424423,0.86490566,11,0.405320684,1,130
1,9.570071397,0.948504591,0.973996225,0.936369618,2,0.558991866,1,131
2,8.612537624,0.983107404,1.009040034,1.022997621,3,0.333849231,1,131
7,8.133048163,1.042035411,0.915443034,0.963654236,2,0.827428427,1,132
5,8.130009881,0.967200012,0.655405416,1.092653539,1,0.443918294,0,132
8,8.087111688,0.986539984,0.882635553,0.814569536,2,0.994602281,1,132
1,7.221574168,0.970952951,,0.953007476,1,0.346643142,0,133
1,7.406054915,1.023688927,1.014848059,0.974680765,6,0.45323407,1,133
1,8.186892229,0.990532503,0.973240967,1.045093017,19,0.333472239,1,133
1,7.960021408,1.002372479,1.011173184,0.937325349,56,0.275864996,1,134
6,8.496278608,0.971280005,0.941692507,0.969962435,3,0.227844855,1,135
1,9.027935242,0.902870578,0.966484637,1.185501853,1,0.474100669,0,135
3,8.153168114,0.993900292,0.959707183,0.95981865,1,0.419659821,0,136
1,7.183635603,1.016666667,1.00801474,0.666367903,4,0.729058514,1,136
1,7.768243634,0.981340234,0.984426966,1.084354788,17,0.685267307,1,136
28,9.483072595,0.983350028,1.095160019,0.935384993,8,0.864065375,1,137
3,7.741052047,0.931403207,0.942498161,0.97362838,2,0.56751588,1,138
1,7.818136866,0.981603154,0.960051546,0.909755053,1,0.536595908,0,138
2,7.572165874,1.008685353,0.928291117,0.724921356,1,0.346097686,0,138
5,7.412504205,1.011960133,1.063677468,0.81380597,2,0.930719528,1,138
2,7.25689879,1.021489362,1.003651987,0.847869281,4,0.373953678,1,139
17,9.113184659,0.990329122,1.095420512,0.852690232,5,0.663283733,1,139
2,7.673681894,1.053316607,0.967986648,0.985090522,1,0.83132361,0,139
1,7.332384871,0.948321908,1.085065784,1.243054183,1,0.858927069,0,140
4,8.415846863,1.014177693,1.159065575,1.469747722,1,0.633248924,0,140
1,7.079234515,0.971955609,0.982793817,1.117895204,13,0.422152144,1,140
1,7.000886788,0.984313687,1.006949338,1.145821603,3,0.438017772,1,141
1,8.051233831,0.989160662,1.025833342,1.166477017,23,0.486012611,1,141
3,7.557923271,0.976163451,0.908256881,0.959726604,9,0.34995714,1,142
4,7.986030029,1.000727141,1.050395257,0.87537092,4,0.531154665,1,142
1,7.245380319,1.044861352,0.991064789,1.332616517,1,0.309829687,0,143
17,8.253152666,1.04012112,0.949016783,1.313817281,2,0.468217515,1,143
2,8.462092788,0.99499583,0.89902507,0.872569415,1,0.687775769,0,143
1,8.289105014,0.975346167,0.986354776,0.970327422,2,0.364920661,1,143
1,7.177423735,1.020011888,0.990358658,0.996339976,6,1.10848152,1,144
3,7.725380424,0.993459962,1.037320027,1.073637563,2,0.458035837,1,145
6,7.736213107,0.995905635,0.970063221,0.694063927,11,0.79541843,1,145
1,7.722336357,0.968471933,1.000396052,1.056354481,1,0.267518054,0,146
1,7.711447092,1.014587738,1.005531915,0.960455371,8,0.280097626,1,146
26,8.65074133,0.984215142,0.995766423,0.907779265,4,0.410496056,1,146
1,7.119863083,1.005639953,0.997529713,0.834868421,4,1.114369565,1,147
1,10,1.005025126,1.000259307,0.984287421,17,0.665505679,1,147
5,7.949516515,0.970241353,0.958012792,1.096525173,1,0.482580055,0,148
1,7.185140214,1.039474312,0.999610962,1.110409576,2,0.455220905,1,148
9,8.178190914,0.995342914,1.050556036,0.874380775,2,0.3553529,1,148
16,9.44091242,0.990672206,1.095229358,0.929278686,17,1.003477153,1,149
1,8.849748712,1.064728546,0.989833813,1.23163458,3,0.363486918,1,150
8,8.589425757,0.977394164,1.046541938,0.847423307,4,0.888345804,1,151
8,8.546703891,1.014887106,0.990795334,0.886755381,4,0.279535443,1,151
2,7.449956837,0.990055052,0.965599051,1.032819536,3,0.532472102,1,151
3,7.505134185,0.979547946,0.995780595,1.035269625,7,0.91202565,1,152
1,7.313071249,1.015118724,1.055045817,1.134065853,10,1.047550266,1,152
3,7.246840836,1.003655565,0.97641129,0.991549296,12,0.359540067,1,153
6,9.525717503,1.085479256,1.206002741,0.719758102,1,0.229023437,0,154
9,7.955219864,0.939058691,0.976173285,0.922784329,1,0.38625774,0,154
2,8.097075974,0.998985115,1.034806822,0.770435967,3,0.332276459,1,154
2,7.626576353,0.964776632,0.956439903,0.749298147,1,0.437788774,0,154
4,7.435508497,1.002549395,1.004545455,1.052279248,2,0.696792808,1,154
6,8.074648309,1.07051333,0.943863486,1.154028749,1,0.69855323,0,155
1,7.910029212,0.996722463,0.968976215,0.962607975,1,0.574213955,0,155
2,7.905355774,1.010089049,1.000819768,0.961356653,10,0.412261473,1,156
1,8.422417132,1.023844652,1.009052377,1.235392293,5,0.578222925,1,157
1,7.720600692,0.988547025,0.999405352,0.952582848,10,0.51984104,1,157
7,9.248284398,1.003264621,0.947876106,0.987201138,17,0.361592469,1,157
1,7.496692221,0.968909246,1.088351134,1.498875061,1,0.494071534,0,158
1,7.454450002,1.006601942,0.985411141,0.82717475,9,0.564760721,1,158
2,7.868151844,0.973184358,1.03549142,0.956538611,31,0.429287103,1,158
2,8.144150109,1.012719102,0.979388189,0.880376797,15,0.332521567,1,159
7,8.433249736,0.995251912,1.00598763,0.920042362,10,0.491461112,1,159
1,8.232404753,1.015151515,0.979389032,0.773193916,1,0.320005476,0,160
3,8.074703099,0.984313725,1.030549898,0.983263598,3,0.989568041,1,161
2,7.180480682,0.967320261,1.053191489,0.827470687,6,0.324548681,1,161
9,8.617769552,1.001508296,1.207272727,0.980519481,2,0.905524083,1,161
3,8.014177561,1.000840572,0.988238512,1.015942826,6,0.790990669,1,162
2,7.115025265,1.001838277,,1.024881522,4,0.662277092,1,163
1,7.00822098,0.996319051,0.990220059,1.060550443,8,0.610980548,1,163
5,7.842799173,0.870216276,0.77805479,1.08990154,75,0.432299504,1,163
1,7.065985497,0.971046771,0.978354978,1.094298246,16,0.796449249,1,163
